year,item,details,url
2025,COLDEX Community Leadership Award,"Received center-wide award for exemplary leadership and broadening participation efforts in the COLDEX community. Nominated by six community members, largely for my work leading ice core proccessing efforts while training new participants.",
2025,COLDEX CECR Scholarship,$4953 for cosmogenic nuclide dating of rocks in ancient ice,
2024,"Quaternary Research Center Director Discretionary Grant,",$2000 for alpine ECM work,
2023,COLDEX ECR Scholarship,$5000 for project investigating ice core layering,
2023,Graduate Student Fellowship Award,$2000 for Alpine Ice Core ECM project,
2023,"""Indomitable Poster""",Best Overall Poster at ESS Research Gala,
2022,Warren F. Upham 1871 Geology Prize,Best Dartmouth Earth Science Senior Honors Thesis,
2022,Stefansson Fellowship,$4000 for Denali Research Expedition,
2022,Andrew W. Mellon Grant,$1500 for Denali Research Expedition,
2021,James O. Freeman Presidential Scholar,Funding for 3 terms of undergraduate research,
2020,Philip R. Jackson Award,Best team project in Introduction to Engineering,https://www.instagram.com/p/B-8XmzQgiTW/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==
