authors,title,venue,year,volume,issue,pages,publisher,date,ISSN,url,doi
"Kirkpatrick, LR; Carter, AJ; Marks-Peterson, J; Shackleton, S; Fudge, TJ",Three-dimensional multitrack electrical conductivity method for interpretation of complex ice core stratigraphy,Journal of Glaciology,2025,71,,e105,Cambridge University Press (CUP),2025,1727-5652,http://dx.doi.org/10.1017/jog.2025.10081,10.1017/jog.2025.10081
"Hills, BH; Holschuh, N; Hoffman, AO; Horlings, AN; Erwin, E; Kirkpatrick, LR; Fudge, TJ; Steig, EJ; Christianson, K",Radar Derived Crystal Orientation Fabric Suggests Dynamic Stability at the Summit of Hercules Dome,Journal of Geophysical Research: Earth Surface,2025,130,3,,American Geophysical Union (AGU),2025-02,2169-9011,http://dx.doi.org/10.1029/2023JF007588,10.1029/2023jf007588
"Brugger, SO, Kirkpatrick, LR & Yeung, LY",Fire trapped in ice: An introduction to biomass burning records from high-alpine and polar ice cores,Past Global Changes Magazine,2022,30,2,106-107,Past Global Changes (PAGES),2022-10,,https://doi.org/10.22498%2Fpages.30.2.106,10.22498/pages.30.2.106
"Swift, J; Andersen, K; Arculli, K; Browning, O; Ding, J; Edwards, N; Fanning, T; Geyer, J; Huber, G;  Jin-Ngo, Dylan;  Kelliher, B; Kirkpatrick, C; Kirkpatrick, LR; Klink, K; Lavine, C; Lawrence, G; Lawrence, Y;  Lin, F;  Leung, C; Luebbers, J; Myles, J; O'Neill, TJ; Osuna, J; Phipps, P; Rahman, G; Rosenbaum, T; Stacey, H; Stacey, P; Tang, H; Wood, A; Wilcox, A; Vyhnal, CR; Yang, G; Yim, J; Yin, Y; Zhang, J; Foley, RJ; Gardner, P; Stafford, G; Rowe, D; Ivarsen, K; Hedrick, R",The Renovated Thacher Observatory and First Science Results,Publications of the Astronomical Society of the Pacific,2022,134,1033,35005,IOP Publishing,4/4/22,,https://doi.org/10.1088/1538-3873/ac5aca,10.1088/1538-3873/ac5aca
"Stoll, N; Shaya, M; Kirkpatrick, LR; Freitag, J; Hishamunda, V; Manos, JM; Jansen, D; Weikusat, I; Fegyveresi, J; Lipovsky, BP; Brook, E; Shackleton, S; Higgins, J; Fudge, TJ","Fabric  texture, and bubble characteristics of the 2 million-year old Allan Hills blue ice core ALHIC1901",Manuscript Submitted to JGR: Solid Earth,In Review,,,,,,,https://eartharxiv.org/repository/view/11519/,https://doi.org/10.31223/X5NV0X
"Manos, J.M.; Shaya, M.; Kirkpatrick, L.R.; Hudak, A.; Stoll, N; Shapero, D.R.; Fudge, T.J.; Higgins, J.A.; Steig, E.J.; Lipovsky, B.P.","Ice flow controls on old ice preservation in the Allan Hills, Antarctica",PNAS,Submitted,,,,,,,,
"Hudak, A; Banerjee, A; Buizert, C; Brook, E; Kalk, M; Davidge, L; Schauer, A; Steig, E; Brown, N; Kirkpatrick, LR; Chalif, J; Osterberg, E; Miranda, M; Saltzman, E; Hishamunda, V; Higgins, J",Fidelity and stratigraphy of the Antarctic Allan Hills old ice archive from Continuous Flow Analysis,Climate of the Past,Submitted,,,,,,,,
"Kirkpatrick, LR; Chalif, J.; Brandis, D.; Carter, A.; Choi, A.; Davidge, L.; Handley, M.; Hishamunda, V.; Jongebloed, U.; Kalk, M.; Korotkikh, E.; Marks-Peterson, J.; Schauer, A.; Stoll, N.; Tipton, L.; Brook, E.; Aarons, S.; Buizert, C.; Cole-Dai, J.; Higgins, J.; Koffman, B.; Osterberg, E.; Steig, E.; Shackleton, S.; Fudge, TJ",Characterization of Complex Basal Layering in an Ancient Allan Hills Ice Core,The Cryosphere,In Prep,,,,,,,,
"Chalif, J; Osterberg, E; Kehrwald, N; Dibb, J; Edwards, R; Ferris, D; Handley, M; Jasmann, J; Jongebloed, U; Kirkpatrick, LR; Koffman, B; Kreutz, K; Leung, M; Lonergan, M; Schachterle, M; Scheuer, E; Saltzman, E; Wake, C; Winski, D",Alpine ice core perspectives on North Pacific black carbon sources and transport ,GRL,In Prep,,,,,,,,
"Choi, A; Carter, A; Marks-Peterson, J; Shackleton, S; Higgins, J; Brook, E; Kirkpatrick, LR; Chalif, J; Aarons, S",Dust Record from Allan Hills Blue Ice: Towards Extending the Archive to 4000 ka ,,In Prep,,,,,,,,
